#ftp://ftp.stsci.edu/cdbs/comp/wfpc2/
#wfpc2_f130lp_004_syn.txt
#Angstrom %1
1210.000000 0.030000
1220.000000 0.030000
1230.000000 0.040000
1235.000000 0.120000
1240.000000 0.255000
1250.000000 0.510000
1260.000000 0.595000
1270.000000 0.620000
1280.000000 0.645000
1290.000000 0.650000
1300.000000 0.660000
1320.000000 0.680000
1340.000000 0.690000
1360.000000 0.710000
1380.000000 0.720000
1400.000000 0.730000
1450.000000 0.760000
1500.000000 0.785000
1550.000000 0.805000
1600.000000 0.825000
1650.000000 0.835000
1700.000000 0.850000
1800.000000 0.860000
1900.000000 0.880000
2000.000000 0.880000
2500.000000 0.920000
3000.000000 0.925000
4000.000000 0.945000
5000.000000 0.945000
6000.000000 0.945000
7000.000000 0.945000
8000.000000 0.945000
9000.000000 0.945000
10000.000000 0.945000
11000.000000 0.945000
