#ftp://ftp.stsci.edu/cdbs/comp/wfpc2/
#wfpc2_f160bw_006_syn.txt
#Angstrom %1
1150.000000 0.027080
1160.000000 0.037799
1170.000000 0.048518
1180.000000 0.059238
1190.000000 0.069957
1200.000000 0.080676
1210.000000 0.083228
1220.000000 0.085781
1230.000000 0.088334
1240.000000 0.090887
1250.000000 0.093440
1260.000000 0.095992
1270.000000 0.098545
1280.000000 0.101098
1290.000000 0.103651
1300.000000 0.106203
1310.000000 0.107737
1320.000000 0.109270
1330.000000 0.110802
1340.000000 0.112335
1350.000000 0.113869
1360.000000 0.115401
1370.000000 0.116934
1380.000000 0.118468
1390.000000 0.120000
1400.000000 0.121533
1410.000000 0.121358
1420.000000 0.121182
1430.000000 0.121007
1440.000000 0.120832
1450.000000 0.120656
1460.000000 0.120481
1470.000000 0.120305
1480.000000 0.120130
1490.000000 0.119955
1500.000000 0.119779
1510.000000 0.118312
1520.000000 0.116843
1530.000000 0.115375
1540.000000 0.113908
1550.000000 0.112439
1560.000000 0.110971
1570.000000 0.109504
1580.000000 0.108035
1590.000000 0.106567
1600.000000 0.105099
1610.000000 0.102546
1620.000000 0.099994
1630.000000 0.097441
1640.000000 0.094888
1650.000000 0.092335
1660.000000 0.089783
1670.000000 0.087230
1680.000000 0.084677
1690.000000 0.082124
1700.000000 0.079571
1710.000000 0.077590
1720.000000 0.075609
1730.000000 0.073628
1740.000000 0.071647
1750.000000 0.069666
1760.000000 0.067684
1770.000000 0.065703
1780.000000 0.063722
1790.000000 0.061741
1800.000000 0.059760
1810.000000 0.056447
1820.000000 0.053134
1830.000000 0.049821
1840.000000 0.046509
1850.000000 0.043196
1860.000000 0.039883
1870.000000 0.036570
1880.000000 0.033258
1890.000000 0.029945
1900.000000 0.026632
1910.000000 0.024992
1920.000000 0.023352
1930.000000 0.021712
1940.000000 0.020071
1950.000000 0.018431
1960.000000 0.016791
1970.000000 0.015151
1980.000000 0.013511
1990.000000 0.011871
2000.000000 0.010014
2010.000000 0.008960
2020.000000 0.007590
2030.000000 0.006325
2040.000000 0.005271
2050.000000 0.004427
