#ftp://ftp.stsci.edu/cdbs/comp/wfpc2/
#wfpc2_f375n_005_syn.txt
#Angstrom %1
3704.000000 0.004524
3706.000000 0.007971
3708.000000 0.013934
3710.000000 0.022789
3712.000000 0.036315
3714.000000 0.054501
3716.000000 0.076123
3718.000000 0.101089
3720.000000 0.126372
3722.000000 0.148878
3724.000000 0.166169
3726.000000 0.177019
3728.000000 0.183119
3730.000000 0.186758
3732.000000 0.190398
3734.000000 0.192983
3736.000000 0.194978
3738.000000 0.194071
3740.000000 0.190489
3742.000000 0.181237
3744.000000 0.160545
3746.000000 0.128447
3748.000000 0.085726
3750.000000 0.048696
3752.000000 0.025136
3754.000000 0.012608
3756.000000 0.006701
