#ftp://ftp.stsci.edu/cdbs/comp/wfpc2/
#wfpc2_f547m_005_syn.txt
#Angstrom %1
4984.000000 0.004022
4986.000000 0.004678
4988.000000 0.005330
4990.000000 0.006025
4992.000000 0.006997
4994.000000 0.007836
4996.000000 0.008931
4998.000000 0.010134
5000.000000 0.011314
5002.000000 0.012769
5004.000000 0.014478
5006.000000 0.016059
5008.000000 0.017894
5010.000000 0.019908
5012.000000 0.022164
5014.000000 0.024653
5016.000000 0.027321
5018.000000 0.030136
5020.000000 0.033110
5022.000000 0.036357
5024.000000 0.039900
5026.000000 0.043549
5028.000000 0.047671
5030.000000 0.051942
5032.000000 0.056360
5034.000000 0.061210
5036.000000 0.066209
5038.000000 0.071386
5040.000000 0.077133
5042.000000 0.082637
5044.000000 0.088784
5046.000000 0.095016
5048.000000 0.101617
5050.000000 0.108186
5052.000000 0.115251
5054.000000 0.122526
5056.000000 0.129802
5058.000000 0.137816
5060.000000 0.144670
5062.000000 0.153422
5064.000000 0.161435
5066.000000 0.169976
5068.000000 0.178834
5070.000000 0.187691
5072.000000 0.196759
5074.000000 0.206355
5076.000000 0.215634
5078.000000 0.225229
5080.000000 0.234614
5082.000000 0.244420
5084.000000 0.254437
5086.000000 0.264349
5088.000000 0.274155
5090.000000 0.284700
5092.000000 0.294822
5094.000000 0.305051
5096.000000 0.314857
5098.000000 0.325190
5100.000000 0.335208
5102.000000 0.345225
5104.000000 0.356086
5106.000000 0.365365
5108.000000 0.375909
5110.000000 0.385399
5112.000000 0.395417
5114.000000 0.406066
5116.000000 0.415556
5118.000000 0.425574
5120.000000 0.435485
5122.000000 0.445081
5124.000000 0.455414
5126.000000 0.464588
5128.000000 0.473973
5130.000000 0.483673
5132.000000 0.492214
5134.000000 0.502021
5136.000000 0.510562
5138.000000 0.519525
5140.000000 0.528487
5142.000000 0.536817
5144.000000 0.545675
5146.000000 0.553899
5148.000000 0.562230
5150.000000 0.570770
5152.000000 0.578573
5154.000000 0.586587
5156.000000 0.594812
5158.000000 0.601666
5160.000000 0.609258
5162.000000 0.616639
5164.000000 0.624442
5166.000000 0.631296
5168.000000 0.637833
5170.000000 0.645003
5172.000000 0.651857
5174.000000 0.659238
5176.000000 0.665038
5178.000000 0.671681
5180.000000 0.677059
5182.000000 0.683807
5184.000000 0.689396
5186.000000 0.696355
5188.000000 0.701732
5190.000000 0.707321
5192.000000 0.713015
5194.000000 0.719447
5196.000000 0.724087
5198.000000 0.729570
5200.000000 0.734947
5202.000000 0.739798
5204.000000 0.745070
5206.000000 0.749815
5208.000000 0.754771
5210.000000 0.759938
5212.000000 0.763839
5214.000000 0.768690
5216.000000 0.772802
5218.000000 0.777336
5220.000000 0.781132
5222.000000 0.785666
5224.000000 0.789568
5226.000000 0.794418
5228.000000 0.798109
5230.000000 0.802326
5232.000000 0.805701
5234.000000 0.810024
5236.000000 0.812871
5238.000000 0.816245
5240.000000 0.820674
5242.000000 0.823837
5244.000000 0.827528
5246.000000 0.830058
5248.000000 0.833116
5250.000000 0.836912
5252.000000 0.839759
5254.000000 0.842184
5256.000000 0.845559
5258.000000 0.848722
5260.000000 0.851358
5262.000000 0.853467
5264.000000 0.856314
5266.000000 0.859055
5268.000000 0.862008
5270.000000 0.864539
5272.000000 0.866015
5274.000000 0.868967
5276.000000 0.870127
5278.000000 0.872763
5280.000000 0.875399
5282.000000 0.876665
5284.000000 0.879090
5286.000000 0.881726
5288.000000 0.881726
5290.000000 0.885311
5292.000000 0.886366
