#ftp://ftp.stsci.edu/cdbs/comp/wfpc2/
#wfpc2_f675w_006_syn.txt
#Angstrom %1
5930.000000 0.004185
5940.000000 0.006660
5942.000000 0.005660
5944.000000 0.006271
5946.000000 0.006864
5948.000000 0.007693
5950.000000 0.008500
5952.000000 0.009333
5954.000000 0.010255
5956.000000 0.011243
5958.000000 0.012466
5960.000000 0.013602
5962.000000 0.014944
5964.000000 0.016286
5966.000000 0.017727
5968.000000 0.019336
5970.000000 0.020896
5972.000000 0.022663
5974.000000 0.024647
5976.000000 0.026621
5978.000000 0.028842
5980.000000 0.031043
5982.000000 0.033471
5984.000000 0.035978
5986.000000 0.038544
5988.000000 0.041308
5990.000000 0.044289
5992.000000 0.047448
5994.000000 0.050507
5996.000000 0.053607
5998.000000 0.057200
6000.000000 0.060743
6002.000000 0.064681
6004.000000 0.068600
6006.000000 0.072716
6008.000000 0.076901
6010.000000 0.081244
6012.000000 0.085873
6014.000000 0.090493
6016.000000 0.095547
6018.000000 0.100581
6020.000000 0.105812
6022.000000 0.111438
6024.000000 0.117163
6026.000000 0.122987
6028.000000 0.129106
6030.000000 0.135621
6032.000000 0.142333
6034.000000 0.148847
6036.000000 0.155658
6038.000000 0.162469
6040.000000 0.170168
6042.000000 0.177373
6044.000000 0.185171
6046.000000 0.192574
6048.000000 0.200470
6050.000000 0.208465
6052.000000 0.216066
6054.000000 0.224752
6056.000000 0.232648
6058.000000 0.240841
6060.000000 0.248836
6062.000000 0.257127
6064.000000 0.265319
6066.000000 0.273512
6068.000000 0.281705
6070.000000 0.289897
6072.000000 0.297793
6074.000000 0.305887
6076.000000 0.314376
6078.000000 0.321680
6080.000000 0.329577
6082.000000 0.337473
6084.000000 0.346159
6086.000000 0.353858
6088.000000 0.362347
6090.000000 0.369848
6092.000000 0.377646
6094.000000 0.386431
6096.000000 0.393636
6098.000000 0.401631
6100.000000 0.409429
6102.000000 0.417918
6104.000000 0.425320
6106.000000 0.434007
6108.000000 0.441706
6110.000000 0.449503
6112.000000 0.456709
6114.000000 0.464408
6116.000000 0.472699
6118.000000 0.480398
6120.000000 0.486715
6122.000000 0.493723
6124.000000 0.500534
6126.000000 0.507542
6128.000000 0.514747
6130.000000 0.520966
6132.000000 0.526888
6134.000000 0.533107
6136.000000 0.539029
6138.000000 0.544161
6140.000000 0.551268
6142.000000 0.556598
6144.000000 0.562225
6146.000000 0.567555
6148.000000 0.572786
6150.000000 0.577623
6152.000000 0.583446
6154.000000 0.587789
6156.000000 0.593119
6158.000000 0.597857
6160.000000 0.602398
6162.000000 0.608024
6164.000000 0.612071
6166.000000 0.617302
6168.000000 0.621546
6170.000000 0.624804
6172.000000 0.630627
6174.000000 0.636253
6176.000000 0.638129
6178.000000 0.650269
6180.000000 0.651158
6182.000000 0.653428
6184.000000 0.658758
6186.000000 0.663990
6188.000000 0.668925
6190.000000 0.672774
6192.000000 0.678697
6194.000000 0.683040
6196.000000 0.687778
6198.000000 0.692910
6200.000000 0.696661
6202.000000 0.700412
6204.000000 0.705347
6206.000000 0.708999
6208.000000 0.713243
6210.000000 0.718475
6212.000000 0.721140
6214.000000 0.725582
6216.000000 0.730813
6218.000000 0.733577
6220.000000 0.737031
6222.000000 0.741473
6224.000000 0.745027
6226.000000 0.748876
6228.000000 0.752035
6230.000000 0.756476
6232.000000 0.758845
6234.000000 0.760819
6236.000000 0.764866
6238.000000 0.768518
6240.000000 0.772170
6242.000000 0.775625
6244.000000 0.779771
6246.000000 0.782831
6248.000000 0.785496
6250.000000 0.789148
6252.000000 0.791813
6254.000000 0.795761
6256.000000 0.798722
6258.000000 0.802078
6260.000000 0.805335
6262.000000 0.809185
6264.000000 0.812442
6266.000000 0.814614
6268.000000 0.817871
6270.000000 0.821424
6272.000000 0.825570
6274.000000 0.828827
6276.000000 0.831394
6278.000000 0.834059
6280.000000 0.838007
6282.000000 0.840178
6284.000000 0.843238
6286.000000 0.846989
6288.000000 0.850147
6290.000000 0.851924
6292.000000 0.854491
6294.000000 0.857550
6296.000000 0.858834
6298.000000 0.861400
6300.000000 0.864657
6302.000000 0.866039
6304.000000 0.867914
6306.000000 0.869987
6308.000000 0.872356
6310.000000 0.874824
6312.000000 0.876798
6314.000000 0.879068
6316.000000 0.880746
6318.000000 0.881832
6320.000000 0.885188
6322.000000 0.884990
