#ftp://ftp.stsci.edu/cdbs/comp/wfpc2/
#wfpc2_f785lp_006_syn.txt
#Angstrom %1
7470.000000 0.004747
7480.000000 0.005648
7490.000000 0.006864
7500.000000 0.008113
7510.000000 0.009779
7520.000000 0.011479
7530.000000 0.013715
7540.000000 0.015966
7550.000000 0.019728
7576.000000 0.020376
7578.000000 0.021029
7580.000000 0.021644
7582.000000 0.022296
7584.000000 0.023023
7586.000000 0.023657
7588.000000 0.024384
7590.000000 0.025130
7592.000000 0.025876
7594.000000 0.026659
7596.000000 0.027423
7598.000000 0.028225
7600.000000 0.029026
7602.000000 0.029865
7604.000000 0.030704
7606.000000 0.031562
7608.000000 0.032438
7610.000000 0.033370
7612.000000 0.034302
7614.000000 0.035290
7616.000000 0.036260
7618.000000 0.037267
7620.000000 0.038292
7622.000000 0.039336
7624.000000 0.040399
7626.000000 0.041480
7628.000000 0.042580
7630.000000 0.043698
7632.000000 0.044836
7634.000000 0.046047
7636.000000 0.047241
7638.000000 0.048415
7640.000000 0.049645
7642.000000 0.050876
7644.000000 0.052161
7646.000000 0.053449
7648.000000 0.054790
7650.000000 0.056133
7652.000000 0.057476
7654.000000 0.058837
7656.000000 0.060291
7658.000000 0.061689
7660.000000 0.063143
7662.000000 0.064672
7664.000000 0.066219
7666.000000 0.067766
7668.000000 0.069388
7670.000000 0.071010
7672.000000 0.072670
7674.000000 0.074328
7676.000000 0.075969
7678.000000 0.077647
7680.000000 0.079363
7682.000000 0.081114
7684.000000 0.082905
7686.000000 0.084656
7688.000000 0.086446
7690.000000 0.088273
7692.000000 0.090193
7694.000000 0.092020
7696.000000 0.093961
7698.000000 0.095900
7700.000000 0.097839
7702.000000 0.099834
7704.000000 0.101772
7706.000000 0.103767
7708.000000 0.105781
7710.000000 0.107850
7712.000000 0.110013
7714.000000 0.112138
7716.000000 0.114282
7718.000000 0.116426
7720.000000 0.118682
7722.000000 0.120900
7724.000000 0.123119
7726.000000 0.125449
7728.000000 0.127761
7730.000000 0.130054
7732.000000 0.132403
7734.000000 0.134826
7736.000000 0.137213
7738.000000 0.139543
7740.000000 0.141948
7742.000000 0.144334
7744.000000 0.146795
7746.000000 0.149200
7748.000000 0.151698
7750.000000 0.154122
7752.000000 0.156583
7754.000000 0.159137
7756.000000 0.161616
7758.000000 0.164152
7760.000000 0.166762
7762.000000 0.169391
7764.000000 0.172075
7766.000000 0.174648
7768.000000 0.177258
7770.000000 0.179905
7772.000000 0.182571
7774.000000 0.185331
7776.000000 0.188052
7778.000000 0.190867
7780.000000 0.193664
7782.000000 0.196386
7784.000000 0.199238
7786.000000 0.201941
7788.000000 0.204794
7790.000000 0.207683
7792.000000 0.210536
7794.000000 0.213463
7796.000000 0.216185
7798.000000 0.219056
7800.000000 0.221983
7802.000000 0.224761
7804.000000 0.227706
7806.000000 0.230596
7808.000000 0.233411
7810.000000 0.236263
7812.000000 0.239246
7814.000000 0.242248
7816.000000 0.245230
7818.000000 0.248120
7820.000000 0.250972
7822.000000 0.253881
7824.000000 0.256883
7826.000000 0.259847
7828.000000 0.262848
7830.000000 0.265924
7832.000000 0.269000
7834.000000 0.272058
7836.000000 0.275097
7838.000000 0.278080
7840.000000 0.281118
7842.000000 0.284269
7844.000000 0.287345
7846.000000 0.290533
7848.000000 0.293460
7850.000000 0.296499
7852.000000 0.299407
7854.000000 0.302446
7856.000000 0.305448
7858.000000 0.308486
7860.000000 0.311600
7862.000000 0.314639
7864.000000 0.317752
7866.000000 0.320772
7868.000000 0.323774
7870.000000 0.326813
7872.000000 0.329665
7874.000000 0.332760
7876.000000 0.335854
7878.000000 0.338930
7880.000000 0.341951
7882.000000 0.344934
7884.000000 0.347935
7886.000000 0.351123
7888.000000 0.354106
7890.000000 0.357201
7892.000000 0.360258
7894.000000 0.363390
7896.000000 0.366448
7898.000000 0.369430
7900.000000 0.372432
7902.000000 0.375415
7904.000000 0.378323
7906.000000 0.381306
7908.000000 0.384252
7910.000000 0.387086
7912.000000 0.390068
7914.000000 0.393200
7916.000000 0.396202
7918.000000 0.399110
7920.000000 0.402224
7922.000000 0.404946
7924.000000 0.408022
7926.000000 0.410725
7928.000000 0.413596
7930.000000 0.416523
7932.000000 0.419338
7934.000000 0.422451
7936.000000 0.425304
7938.000000 0.428324
7940.000000 0.431158
7942.000000 0.434010
7944.000000 0.436956
7946.000000 0.439901
7948.000000 0.442530
7950.000000 0.445401
7952.000000 0.448179
7954.000000 0.451087
7956.000000 0.453977
7958.000000 0.456661
7960.000000 0.459495
7962.000000 0.462236
7964.000000 0.465051
7966.000000 0.467698
7968.000000 0.470513
7970.000000 0.473440
7972.000000 0.476162
7974.000000 0.479014
7976.000000 0.481531
7978.000000 0.484104
7980.000000 0.486733
7982.000000 0.489399
7984.000000 0.491915
7986.000000 0.494395
7988.000000 0.497079
7990.000000 0.499559
7992.000000 0.502262
7994.000000 0.505003
7996.000000 0.507557
7998.000000 0.510148
8000.000000 0.525920
8002.000000 0.528195
8004.000000 0.530227
8006.000000 0.532371
8008.000000 0.534664
8010.000000 0.536714
8012.000000 0.539008
8014.000000 0.541245
8016.000000 0.543445
8018.000000 0.545775
8020.000000 0.547826
8022.000000 0.549970
8024.000000 0.552095
8026.000000 0.554314
8028.000000 0.556346
8030.000000 0.558601
8032.000000 0.560428
8034.000000 0.562572
8036.000000 0.564455
8038.000000 0.566618
8040.000000 0.568874
8042.000000 0.571148
8044.000000 0.573236
8046.000000 0.575697
8048.000000 0.577636
