#lambda[nm]	BBF_Y	BBF_J	BBF_H	BBF_Ks
#1	          2	  3   	  4	  5
400	9.70E-005	-0.00E+000	1.07E-003	-0.00E+000
401	9.70E-005	-0.00E+000	1.07E-003	0.00E+000
402	9.70E-005	0.00E+000	1.07E-003	0.00E+000
403	9.70E-005	-0.00E+000	1.07E-003	0.00E+000
404	9.70E-005	0.00E+000	1.07E-003	0.00E+000
405	3.30E-005	0.00E+000	1.07E-003	0.00E+000
406	3.30E-005	0.00E+000	1.07E-003	0.00E+000
407	3.30E-005	0.00E+000	1.07E-003	0.00E+000
408	3.30E-005	-0.00E+000	1.07E-003	0.00E+000
409	3.30E-005	-3.20E-013	1.07E-003	0.00E+000
410	3.30E-005	-2.20E-013	1.07E-003	0.00E+000
411	3.30E-005	-6.00E-014	1.07E-003	0.00E+000
412	3.30E-005	6.00E-014	1.07E-003	0.00E+000
413	3.30E-005	-4.00E-013	1.07E-003	0.00E+000
414	3.30E-005	-1.20E-013	1.07E-003	0.00E+000
415	3.30E-005	1.60E-013	1.07E-003	0.00E+000
416	3.30E-005	4.00E-014	1.07E-003	0.00E+000
417	3.30E-005	1.40E-013	1.07E-003	0.00E+000
418	3.30E-005	2.20E-013	1.07E-003	0.00E+000
419	3.30E-005	2.20E-013	1.07E-003	0.00E+000
420	3.30E-005	-3.40E-013	1.07E-003	0.00E+000
421	3.30E-005	-2.00E-013	1.07E-003	0.00E+000
422	3.30E-005	1.40E-013	1.07E-003	0.00E+000
423	3.30E-005	-4.00E-014	1.07E-003	0.00E+000
424	3.30E-005	-4.00E-014	1.07E-003	0.00E+000
425	3.30E-005	1.60E-013	1.07E-003	0.00E+000
426	3.30E-005	2.00E-014	1.07E-003	0.00E+000
427	3.30E-005	-6.00E-014	1.07E-003	0.00E+000
428	3.30E-005	8.00E-014	1.07E-003	0.00E+000
429	3.30E-005	-1.40E-013	1.07E-003	0.00E+000
430	3.30E-005	-2.00E-014	1.07E-003	0.00E+000
431	3.30E-005	-2.00E-014	1.07E-003	0.00E+000
432	3.30E-005	8.00E-014	1.07E-003	0.00E+000
433	3.30E-005	-8.00E-014	1.07E-003	0.00E+000
